# STT,Tên hệ thống nguồn              ,Địa chỉ IP/Subnet mask nguồn                ,Tên hệ thống đích               ,Địa chỉ IP/ Subnet mask đích                    ,Dịch vụ (Port)        ,TCP/UDP        ,Mô tả mục đích kết nối                                                                                                                                                      ,Thời gian hết hiệu lực kết nối
1 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,VASGate Cloud                   ,10.1.230.9 10.1.230.10                          ,21                    ,FTP            ,Kết nối FTP đồng bộ file                                                                                                                                                    ,Lâu dài
2 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,VASGate Cloud                   ,10.1.230.6 10.1.230.7 10.1.230.13               ,8080 8088             ,HTTP           ,Đăng kí/hủy các gói dịch vụ qua hệ thống VASGate                                                                                                                    ,Lâu dài
3 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,VASGate Cloud                   ,10.1.230.6 10.1.230.7 10.1.230.13               ,4123                  ,TCP            ,Đăng kí/hủy các gói dịch vụ qua hệ thống VASGate                                                                                                                    ,Lâu dài
4 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,SMPPGW HN HCM                   ,10.51.37.196 10.53.131.52                       ,6200                  ,SMPP           ,Gửi nhận SMS MO/MT                                                                                                                                                          ,Lâu dài
5 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,CDR server TTC                  ,10.50.9.248                                     ,21                    ,FTP            ,Đẩy file CDR đối soát                                                                                                                                                     ,Lâu dài
6 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,Report                          ,10.54.15.27                                     ,21                    ,FTP            ,Đồng bộ dữ liệu vào hệ thống Vas Report                                                                                                                                     ,Lâu dài
7 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,NTP server                      ,10.247.251.10 10.247.252.250 10.247.255.10      ,123                   ,NTP            ,Kết nối hệ thống đồng bộ thời gian                                                                                                                                          ,Lâu dài
8 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,Email server                    ,10.3.12.21-23                                   ,25                    ,Mail           ,Gửi mail cảnh báo báo cáo                                                                                                                                                   ,Lâu dài
9 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,CDR VASP 999                    ,10.3.16.7                                       ,21                    ,FTP            ,Lấy file CDR dịch vụ VASP phục vụ chốt hoa hồng                                                                                                                           ,Lâu dài
10,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,EBS                             ,10.3.7.115                                      ,7800                  ,HTTP           ,Kết nối tới hệ thống EBS của TT TC&TK để thực hiện kiểm tra điều kiện bán gói                                                                                               ,Lâu dài
11,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,Big Data                        ,10.3.21.72 10.3.21.73                           ,8888                  ,HTTP           ,Kết nối tới hệ thống Big Data của TT TC&TK để thực hiện kiểm tra điều kiện tập thuê bao bán gói                                                                             ,Lâu dài
12,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,OmniChannel                     ,10.39.220.160 10.39.220.162 10.39.220.166       ,20 21                 ,TCP SFTP       ,Mở kết nối cho phép hệ thống Vasonline kết nối tới hệ thống Omnichannel để thực hiện đẩy file dữ liệu của hệ thống Vasonline theo yêu cầu của Omnichannel                   ,Lâu dài
13,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,mSocial                         ,10.39.45.92 10.38.45.254 10.38.45.50 10.38.45.12,8080 80               ,HTTP           ,Mở kết nối cho phép vasonline kết nối tới msocial HN để thực hiện gọi hàm kiểm tra check chéo giao dịch thuộc chính sách RETRY                                              ,Lâu dài
14,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,OCSGW NEIF DUMP                 ,10.3.20.40                                      ,21                    ,TCP            ,Đồng bộ File NEIF DUMP                                                                                                                                                      ,Lâu dài
15,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,OCSGW                           ,10.3.20.59                                      ,8081                  ,SOAP           ,Kết nối cho phép hệ thống Vasonline kết nối tới OCSGW để kiểm tra loại hình thuê bao                                                                                        ,Lâu dài
16,OCSGW                           ,10.3.20.34-37                               ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,9000                  ,TCP            ,Mở kết nối cho phép hệ thống OCSGW kết nối tới hệ thống Vasonline nhằm để OCSGW thực hiện relay bản tin NEIF sang cho hệ thống Vasonline thực hiện chính sách thuê bao Retry,Lâu dài
17,Dagoras                         ,10.54.63.34                                 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,80                    ,HTTP           ,Kết nối tới đại lý phân phối                                                                                                                                                ,Lâu dài
18,BD                              ,10.16.124.34                                ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,80                    ,HTTP           ,Kết nối tới đại lý phân phối                                                                                                                                                ,Lâu dài
19,Kết nối                         ,10.38.6.195                                 ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,80                    ,HTTP           ,Kết nối tới đại lý phân phối                                                                                                                                                ,Lâu dài
20,BHS                             ,10 151 254 173                              ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,80                    ,HTTP           ,Kết nối tới đại lý phân phối                                                                                                                                                ,Lâu dài
21,Paytech                         ,10.54.192.143                               ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,80                    ,HTTP           ,Kết nối tới đại lý phân phối                                                                                                                                                ,Lâu dài
22,VMG                             ,10.54.192.147-149                           ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,80                    ,HTTP           ,Kết nối tới đại lý phân phối                                                                                                                                                ,Lâu dài
23,CTV OSP                         ,10.38.7.71 10.38.7.72 10.38.7.103           ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,80                    ,HTTP           ,Kết nối tới đại lý phân phối                                                                                                                                                ,Lâu dài
24,Vùng DMZ Cloud Private         ,10.0.133.58-60                              ,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216                ,10009 80 8080 8088    ,HTTP           ,Gửi SMS MT Kết nối API giao dịch Kết nối gửi mail                                                                                                                           ,Lâu dài
25,APP Vasonline Cloud Private     ,10.0.9.210 10.0.9.211 10.0.9.216            ,Vùng DB Cloud Private          ,10.0.9.212-215 10.0.9.217                       ,1521                  ,JDBC           ,Kết nối DB Cloud                                                                                                                                                            ,Lâu dài
26,Vùng DMZ Cloud Private         ,10.0.133.58-60                              ,Vùng APP VASONLINE tại HCM      ,10.54.84.66 10.54.84.68 10.54.84.78             ,10009 80 8080 8088    ,HTTP           ,Gửi SMS MT Kết nối API giao dịch Kết nối gửi mail                                                                                                                           ,Lâu dài
27,Vùng DMZ Cloud Private         ,10.0.133.58-60                              ,Vùng DMZ VASONLINE tại HCM      ,10.54.80.149 10.54.80.150 10.54.80.152          ,80 8080               ,HTTP           ,Cân bằng tải và HA vùng WEB                                                                                                                                                 ,Lâu dài
